Bank Ticker,BAC,BAC,BAC,BAC,BAC,C,C,C,C,C,GS,GS,GS,GS,GS,JPM,JPM,JPM,JPM,JPM,MS,MS,MS,MS,MS,WFC,WFC,WFC,WFC,WFC
Stock Info,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-21,12.68,12.714,12.522,12.685,79101030,39.514,39.55,38.876,39.285,16068297,139.89,140.2,138.6,139.75,2573879,56.326,56.566,55.795,56.527,12921808,23.628,23.846,23.39,23.754,13625488,40.983000000000004,41.026,40.532,40.929,13516915
2016-06-20,12.798,12.899000000000001,12.583,12.610999999999999,96452830,39.78,40.321,39.157,39.175,22108985,139.89,141.78,139.04,139.18,3542582,56.973,57.332,55.976000000000006,56.004,13600481,23.465,23.846,23.438000000000002,23.483,19219944,41.158,41.512,40.662,40.67,22484682
2016-06-17,12.462,12.602,12.368,12.481,95466110,38.848,39.3,38.580999999999996,38.883,27432800,138.15,139.63,137.01,137.19,4560195,55.938,56.308,55.607,55.919,17535704,22.756999999999998,23.109,22.706999999999997,22.948,21281246,40.602,40.732,40.314,40.385999999999996,29580414
2016-06-16,12.322000000000001,12.415999999999999,12.126,12.395999999999999,96606600,38.088,38.607,37.667,38.555,21741835,136.58,138.47,135.22,138.15,3710604,55.177,55.938,54.681999999999995,55.867,18686524,22.168000000000003,22.766,21.969,22.730999999999998,17987987,40.274,40.611999999999995,39.829,40.602,17977758
2016-06-15,12.462,12.722000000000001,12.368,12.425999999999998,107950508,38.718,39.257,38.414,38.452,23952583,138.64,140.09,137.45,137.7,3163576,56.038000000000004,56.401,55.588,55.641999999999996,18904901,22.522,22.822,22.279,22.414,19162346,40.966,41.216,40.507,40.541,23218407
2016-06-14,12.629000000000001,12.785,12.265999999999998,12.350999999999999,91400913,39.397,39.854,38.0,38.405,30170331,139.62,140.41,137.0,137.73,5380662,56.281000000000006,56.99100000000001,55.383,55.74100000000001,21709746,22.748,23.046999999999997,22.14,22.304000000000002,17438405,41.477,41.702,40.306,40.629,29195886
2016-06-13,12.704,12.950999999999999,12.648,12.665999999999999,80211277,39.568000000000005,40.33,39.493,39.506,22514733,140.36,142.54,139.98,140.02,3592973,57.0,57.771,56.801,56.81,15990145,22.948,23.331,22.884,22.903000000000002,14142924,41.71,42.04,41.563,41.571000000000005,18634834
2016-06-10,13.020999999999999,13.04,12.807,12.880999999999998,97315802,40.521,40.64,39.981,40.183,25202839,142.57,142.87,140.9,141.21,4602222,57.402,57.528999999999996,57.09,57.321999999999996,18553185,23.246,23.438000000000002,23.066999999999997,23.156,14834134,42.022,42.211999999999996,41.747,41.894,19388335
2016-06-09,13.337,13.337,13.113,13.216,80254220,41.354,41.383,40.868,41.196999999999996,18639400,144.89,145.36,143.63,144.29,2878844,58.176,58.273999999999994,57.708999999999996,58.138999999999996,12032658,23.818,23.855999999999998,23.529,23.646,10872712,43.028,43.052,42.335,42.586999999999996,22439892
2016-06-08,13.366,13.468,13.318,13.44,62522389,41.629,42.012,41.461000000000006,41.703,14359115,146.21,147.5,144.99,145.67,2570882,58.3,58.794,58.292,58.589,10472524,23.991999999999997,24.316,23.935,24.061999999999998,11346369,43.547,43.715,43.108000000000004,43.331,20948434
